id,doi,title,abstract,year,month,day,source
73,10.1089/153036602760260742,Genetic Evidence for Tula Virus in<i>Microtus arvalis</i>and<i>Microtus agrestis</i>Populations in Croatia,"To determine the threat of hantavirus infection to U.S. Forces, small mammals were sampled from training areas within Croatia. Of the 152 samples, 20 were positive for Tula virus (TUL), 12 common voles (Microtus arvalis) and eight field voles (Microtus agrestis). Sequences from M. agrestis were found in five and sequences from M. arvalis were found in six of seven sequence groups. The high percentage of the same TUL sequences in M. agrestis and M. arvalis suggests the co-occurrence of this virus in both Microtus species is not an accident. If M. agrestis field voles were accidentally infected with TUL, the percentage of polymerase chain reaction-positive animals should be lower than that of M. arvalis. Because the infection rate in M. arvalis (11.8%) was less than half of that found in M. agrestis (27.6%), it is unlikely that the predominance of positive M. agrestis could be due to accidental exposure. It is much more likely that the Croatian virus is circulating between both rodent species.",2002,3,NA,zover
74,10.1006/viro.1995.1552,Coexistence of Several Novel Hantaviruses in Rodents Indigenous to North America,"Three genetically distinct members of the Hantavirus genus have been detected in Nevada rodents by RT-PCR and nucleotide sequence analysis. These include Sin Nombre (SN), El Moro Canyon (ELMC), and Prospect Hill (PH)-like viruses which are primarily associated with Peromyscus maniculatus (deer mouse), Reithrodontomys megalotis (western harvest mouse), and Microtus spp. (voles), respectively. Although this region of the United States is ecologically diverse, rodents infected with different hantaviruses appear to coexist in several different geographical and ecological zones. In two widely separated states, Nevada and North Dakota, PH-like viruses are present in three different species of vole. In addition, ELMC-like virus has been detected in both R. megalotis and M. montanus (mountain vole). SN virus is a cause of hantavirus pulmonary syndrome throughout much of the United States. SN virus RNA is found in 12.5% of P. maniculatus in Nevada and eastern California. Two lineages of SN virus coexist in this region and differ from SN viruses originally found in infected rodents in New Mexico, Arizona, and Colorado. These data show the complexity of hantavirus maintenance in rodents. Distinct hantaviruses or virus lineages can coexist either in different or the same rodent species and in either different or the same geographic or ecological zones.",1995,10,NA,zover
75,10.1006/viro.1995.0071,Naturally Occurring Sin Nombre Virus Genetic Reassortants,"Genetic reassortment has been shown to play an important role in the evolution of several segmented RNA viruses and in the epidemiology of associated diseases. Sin Nombre (SN) virus is the cause of hantavirus pulmonary syndrome throughout the western United States. Like other hantaviruses, it possesses a genome consisting of three negative-sense RNA segments, S, M, and L. Recent analysis has demonstrated the presence of at least three different hantaviruses in Nevada and eastern California, including SN, Prospect Hill-like, and El Moro Canyon-like viruses. In addition, two distinct lineages of SN virus can be found in Peromyscus maniculatus rodents (sometimes in close proximity) trapped at study sites in this region. Data obtained by phylogenetic analysis of sequence differences detected among the S, M, and L genome segments of these SN viruses are consistent with reassortment having taken place between SN virus genetic variants. The results suggest that M (and to a lesser extent S or L) genome segment flow occurs within SN virus populations in P. maniculatus in this region. No reassortment was detected between SN virus and other hantavirus types present in the area. This finding suggests that as genetic distance increases, the frequency of formation of viable reassortants decreases, or that hantaviruses which are primarily maintained in different rodent hosts rarely have the opportunity to genetically interact.",1995,12,NA,zover
76,10.1006/viro.2000.0563,Hantavirus Pulmonary Syndrome in Panama: Identification of Novel Hantaviruses and Their Likely Reservoirs,"Hantavirus pulmonary syndrome (HPS), a severe respiratory disease with high mortality caused by rodent-borne hantaviruses, has previously been identified in the United States and Canada as well as central and southern South America. In late 1999 and early 2000, an outbreak of acute illness compatible with HPS was reported in Los Santos, Panama, with the death of 3 of the 12 (25%) suspected cases. Hantavirus-specific antibodies were detected in patient sera, and virus RNA was detected by reverse transcriptase-polymerase chain reaction. Sequence analysis of virus genome N-, G1-, and G2-encoding fragments showed this to be a novel hantavirus, Choclo virus. Serologic and virus genetic analyses of rodents trapped in the area showed Oligoryzomys fulvescens to be the likely reservoir for the HPS-associated Choclo virus. In addition, Zygodontomys brevicauda rodents were shown to harbor another genetically unique hantavirus, Calabazo virus.",2000,11,NA,zover
77,10.1006/viro.1995.1020,Complete Nucleotide Sequences of the M and S Segments of Two Hantavirus Isolates from California: Evidence for Reassortment in Nature among Viruses Related to Hantavirus Pulmonary Syndrome,"We report the complete nucleotide sequence of the M and the S genome segments and a portion of the L segments of two hantavirus isolates from Peromyscus maniculatus trapped in eastern California. The isolates, Convict Creek 107 and 74 (CC107 and CC74) are genetically similar to viruses known to cause hantavirus pulmonary syndrome in New Mexico. CC107 and CC74 each have an M segment consisting of 3696 nucleotides with a coding potential of 1140 amino acids in the virus complementary-sense RNA (cRNA). The S segments of CC107 and CC74 are 2083 and 2047 nucleotides long, respectively, and each has an ORF in the cRNA capable of encoding a protein of 428 amino acids. Unusually long 3' noncoding regions of 757 and 721 nucleotides follow the S segment ORF of CC107 and CC74, respectively, and include numerous imperfect repetitive sequences. Whereas the M and S segments of any given hantavirus typically appear to diverge at comparable rates from homologous genes of any other hantavirus, CC107 and CC74 have M segments that differ by only 1% from one another but S segments that differ by 13%. After trivial explanations are rendered improbable, i.e., by consideration of the genetics of closely and distantly related hantaviruses, the most likely explanation for our data is that hantavirus genome segment reassortment occurred within rodent populations in California.",1995,2,NA,zover
78,10.1093/molbev/msn093,High Rates of Molecular Evolution in Hantaviruses,"Hantaviruses are rodent-borne Bunyaviruses that infect the Arvicolinae, Murinae, and Sigmodontinae subfamilies of Muridae. The rate of molecular evolution in the hantaviruses has been previously estimated at approximately 10(-7) nucleotide substitutions per site, per year (substitutions/site/year), based on the assumption of codivergence and hence shared divergence times with their rodent hosts. If substantiated, this would make the hantaviruses among the slowest evolving of all RNA viruses. However, as hantaviruses replicate with an RNA-dependent RNA polymerase, with error rates in the region of one mutation per genome replication, this low rate of nucleotide substitution is anomalous. Here, we use a Bayesian coalescent approach to estimate the rate of nucleotide substitution from serially sampled gene sequence data for hantaviruses known to infect each of the 3 rodent subfamilies: Araraquara virus (Sigmodontinae), Dobrava virus (Murinae), Puumala virus (Arvicolinae), and Tula virus (Arvicolinae). Our results reveal that hantaviruses exhibit short-term substitution rates of 10(-2) to 10(-4) substitutions/site/year and so are within the range exhibited by other RNA viruses. The disparity between this substitution rate and that estimated assuming rodent-hantavirus codivergence suggests that the codivergence hypothesis may need to be reevaluated.",2008,4,3,zover
79,10.3201/eid0907.030044,Yellow Pygmy Rice Rat (<i>Oligoryzomys flavescens</i>) and Hantavirus Pulmonary Syndrome in Uruguay,"During 5,230 trapping nights, 672 small mammals were trapped in the areas where most hantavirus pulmonary syndrome (HPS) cases occur in Uruguay. Yellow pygmy rice rats (Oligoryzomys flavescens) were the only rodents that showed evidence of antibodies to hantavirus, with a seroprevalence of 2.6%. The rodents were trapped in all the explored environments, and most of the seropositive rodents were found in habitats frequented by humans. Nucleotide sequences were obtained from four HPS case-patients and four yellow pygmy rice rats of the M genome segment. Sequence comparison and phylogenetic analysis showed that rodent-borne viruses and viruses from three HPS case-patients form a well-supported clade and share a 96.4% identity with the previously characterized Central Plata hantavirus. These results suggest that yellow pygmy rice rat (O. flavescens) may be the host for Central Plata, a hantavirus associated with HPS in the southern area of Uruguay.",2003,7,NA,zover
80,10.1007/s11262-017-1484-5,Phylogenetic analysis of Puumala virus strains from Central Europe highlights the need for a full-genome perspective on hantavirus evolution,"Puumala virus (PUUV), carried by bank voles (Myodes glareolus), is the medically most important hantavirus in Central and Western Europe. In this study, a total of 523 bank voles (408 from Germany, 72 from Slovakia, and 43 from Czech Republic) collected between the years 2007-2012 were analyzed for the presence of hantavirus RNA. Partial PUUV genome segment sequences were obtained from 51 voles. Phylogenetic analyses of all three genome segments showed that the newfound strains cluster with other Central and Western European PUUV strains. The new sequences from Å umava (Bohemian Forest), Czech Republic, are most closely related to the strains from the neighboring Bavarian Forest, a known hantavirus disease outbreak region. Interestingly, the Slovak strains clustered with the sequences from Bohemian and Bavarian Forests only in the M but not S segment analyses. This well-supported topological incongruence suggests a segment reassortment event or, as we analyzed only partial sequences, homologous recombination. Our data highlight the necessity of sequencing all three hantavirus genome segments and of a broader bank vole screening not only in recognized endemic foci but also in regions with no reported human hantavirus disease cases.",2017,6,29,zover
81,10.1016/s1567-1348(03)00088-1,Genetic similarity of Puumala viruses found in Finland and western Siberia and of the mitochondrial DNA of their rodent hosts suggests a common evolutionary origin,"A total of 678 small mammals representing eight species were trapped in western Siberia in 1999-2000 and assayed for the presence of hantaviruses. Eighteen animals, all Clethrionomys species, were antigen positive by enzyme-linked immunosorbent assay (ELISA). Small and medium genome segments were recovered by RT-PCR from six samples from Clethrionomys glareolus and three from Clethrionomys rufocanus. Sequence comparison and phylogenetic analysis revealed that these hantaviruses were Puumala virus and were similar to hantavirus strains from Finland. To confirm these data, partial nucleotide sequences of the rodent hosts' cytochrome b genes were obtained, as well as several sequences from genes from rodents trapped at different localities of European Russia and western Siberia. The cytochrome b sequences of Siberian bank voles were similar to sequences of C. glareolus, trapped in Finland. These data suggest that the Puumala hantaviruses, as well as their rodent hosts, share a common evolutionary history. We propose that these rodents and viruses may be descendents of a population of bank voles that expanded northward from southern refugia during one of the interglacial periods.",2003,11,NA,zover
82,10.1016/s0168-1702(00)00224-0,Genetic characterization of Puumala hantavirus strains from Belgium: evidence for a distinct phylogenetic lineage,"Puumala hantavirus (PUUV) sequences were recovered from red bank voles (Clethrionomys glareolus) trapped between 1996 and 1998 in four localities of southern Belgium: Thuin, Montbliart, Momignies and Couvin. In addition, three PUUV isolates originating from bank voles trapped in the 1980s in southern (Montbliart) and northern (Turnhout) Belgium were genetically characterized. Analysis of the complete S and partial M segment sequences showed that the Belgian PUUV strains constitute a genetic lineage, distinct from other known PUUV lineages from Europe and Japan. This lineage also includes a wild strain (Cg-Erft) originating from a neighbouring area of Germany. Within the Belgian lineage, geographical clustering of genetic variants was observed. In the Montbliart site, the range of diversity between the most temporally distant strains (from 1986 and 1996-1998) was higher than between those from 1996 and 1998, suggesting slight genetic drift via accumulation of neutral or quasi-neutral substitutions with time.",2001,4,NA,zover
83,10.1002/jmv.21149,"Genetic characterization of hantaviruses isolated from Guizhou, China: Evidence for spillover and reassortment in nature","To gain more insights into the epidemiology of hantaviruses in the Guizhou province, China, rodents were captured in Guizhou during the period from 2001 to 2003. In addition, serum sample was collected from one patient. Virus isolation was attempted from human serum and rodent samples. Four hantaviruses were isolated successfully in cell culture from one human, two A. agrarius, and one R. norvegicus. The nucleotide sequences for the entire S and M and partial L segment were determined from these four isolates as well as six viruses isolated in 1980s. Phylogenetic analysis revealed that the S segment from all isolates belong to the Hantaan virus (HTNV) clade, regardless of the sources from which they were derived. According to the S sequences, these viruses could be divided into three distinct phylogroups, showing geographical clustering. Analysis of the entire M and the partial L segment sequences demonstrated that 8 out of the 10 isolates belong to the HTNV clade. However, two isolates (CGRn8316 and CGRn9415) isolated from R. norvegicus belong to the Seoul virus (SEOV) clade. In addition, these two isolates were distinct from other known members of SEOV clade. Together, the data suggest that at least three groups of HTNV are co-circulating and one new variant of SEOV may be present in Guizhou. Our results also suggest that HTNV from A. agrarius spilled over to R. norvegicus and natural reassortment between HTNV and SEOV occurred during or after the spillover.",2008,NA,NA,zover
84,10.1089/vbz.2011.0784,Tula Virus Infections in the Eurasian Water Vole in Central Europe,"Recent reports of novel hantaviruses in shrews and moles and the detection of rodent-borne hantaviruses in different rodent species raise important questions about their host range and specificity, evolution, and host adaptation. Tula virus (TULV), a European hantavirus, is believed to be slightly or non-pathogenic in humans and was initially detected in the common vole Microtus arvalis, the East European vole M. levis (formerly rossiaemeridionalis), and subsequently in other Microtus species. Here we report the first multiple RT-PCR detection and sequence analyses of TULV in the Eurasian water vole Arvicola amphibius from different regions in Germany and Switzerland. Additional novel TULV S-, M-, and L-segment sequences were obtained from M. arvalis and M. agrestis trapped in Germany at sites close to trapping sites of TULV-RT-PCR-positive water voles. Serological investigations using a recombinant TULV nucleocapsid protein revealed the presence of TULV-reactive antibodies in RT-PCR-positive and a few RT-PCR-negative water voles. Phylogenetic analyses revealed a geographical clustering of the novel S-, M-, and L-segment sequences from A. amphibius with those of M. arvalis- and M. agrestis-derived TULV lineages, and may suggest multiple TULV spillover or a potential host switch to A. amphibius. Future longitudinal studies of sympatric Microtus and Arvicola populations and experimental infection studies have to prove the potential of A. amphibius as an additional TULV reservoir host.",2012,6,NA,zover
85,10.1371/journal.pntd.0008778,"Orthohantaviruses infections in humans and rodents in Baoji, China","In recent years, hemorrhagic fever with renal syndrome (HFRS) incidence has been becoming a severe public health problem again due to its significant increase in Shaanxi Province, China. Baoji, located in the Guanzhong Plain in the central part of Shaanxi Province, has been severely affected by HFRS since its first emergence in 1955. To better understand the epidemiology of orthohantaviruses infection in humans and the causative agents carried by the rodents, the long-term incidence patterns were analyzed and a molecular epidemiological investigation of orthohantaviruses infection in humans and rodents was performed. During 1984-2019, 13,042 HFRS cases were registered in Baoji, including 275 death cases. Except the first high prevalence of HFRS in 1988-1993, another two epidemic peaks were observed in 1998-2003 and 2012, respectively, although vaccination project was started since 1996. During the same period, HFRS cases in Baoji mainly were recorded in winter suggesting they may be caused by Hantaan orthohantavirus (HTNV), while a small peak of HFRS was also found in summer with unknown reason. Nucleotide identity and phylogenetic analyses demonstrated that a novel clade of HTNV sequences recovered from HFRS cases were closely related to those from rodents, including species close contact with humans, suggesting a direct viral transmission from rodents to humans and the important role in the HTNV transmission the nontraditional rodent hosts may play. Moreover, two distant related Dabieshan orthohantavirus (DBSV) lineages were also identified in Niviventer niviventer in this area demonstrating its considerable genetic diversity. Our data indicated that continual spillover of HTNV from rodents to humans, contributing to the high prevalence of HFRS in humans in Baoji.",2020,10,19,zover
86,10.1002/jmv.21737,"Hantaviruses in small mammals and humans in the coastal region of Zhejiang Province, China","To gain more insights into the epidemiology of hantaviruses in the coastal region of Zhejiang Province, China, the morbidity and mortality of hemorrhagic fever with renal syndrome (HFRS) were analyzed in two coastal areas: Cixi (hilly terrain) and Wenzhou (mountainous terrain). More HFRS cases have been reported in Cixi than in Wenzhou. Annual incidence rate of HFRS in Cixi had been on the level of approximately 1.5/100,000 from 1968 (when the first HFRS case was reported) to 2007, with the highest incidence rate of 8.54/100,000 in 1999. The annual incidence rate in Wenzhou has been relatively low, less than 0.5/100,000 since the first HFRS case was reported in 1981. A total of 461 rodents and 199 shrews were captured in these two areas. Hantavirus antibodies were detected in 16 of 241 (6.64%) Rattus norvegicus and 13 of 122 (10.66%) R. flavipectus. Interestingly, hantavirus antigens were identified in 6 of 196 (3.06%) Suncus murinus. Genetic analysis showed that partial M and S segment sequences recovered from rats in the two regions belong to Seoul virus (SEOV) and can be assigned into two genetic lineages. SEOV variants that belong to these two lineages of viruses are distributed widely in China and have been found outside China. As most trapped rodents were rats and SEOV was the only hantavirus detected, these results suggested that SEOV plays an important role in human hantavirus infections. They also reinforce the need for vigilance in preventing HFRS caused by hantaviruses in the coastal region.",2010,5,NA,zover
91,10.1007/s11262-019-01706-7,Field vole-associated Traemmersee hantavirus from Germany represents a novel hantavirus species,"Vole-associated hantaviruses occur in the Old and New World. Tula orthohantavirus (TULV) is widely distributed throughout the European continent in its reservoir, the common vole (Microtus arvalis), but the virus was also frequently detected in field voles (Microtus agrestis) and other vole species. TULV and common voles are absent from Great Britain. However, field voles there harbor Tatenale and Kielder hantaviruses. Here we screened 126 field voles and 13 common voles from Brandenburg, Germany, for hantavirus infections. One common vole and four field voles were anti-TULV antibody and/or TULV RNA positive. In one additional, seropositive field vole a novel hantavirus sequence was detected. The partial S and L segment nucleotide sequences were only 61.1% and 75.6% identical to sympatrically occurring TULV sequences, but showed highest similarity of approximately 80% to British Tatenale and Kielder hantaviruses. Subsequent determination of the entire nucleocapsid (N), glycoprotein (GPC), and RNA-dependent RNA polymerase encoding sequences and determination of the pairwise evolutionary distance (PED) value for the concatenated N and GPC amino acid sequences confirmed a novel orthohantavirus species, tentatively named Traemmersee orthohantavirus. The identification of this novel hantavirus in a field vole from eastern Germany underlines the necessity of a large-scale, broad geographical hantavirus screening of voles to understand evolutionary processes of virus-host associations and host switches.",2019,10,1,zover
92,10.3201/eid2406.180089,"Novel Focus of Sin Nombre Virus in<i>Peromyscus eremicus</i>Mice, Death Valley National Park, California, USA","The deer mouse (Peromyscus maniculatus) is the primary reservoir for Sin Nombre virus (SNV) in the western United States. Rodent surveillance for hantavirus in Death Valley National Park, California, USA, revealed cactus mice (P. eremicus) as a possible focal reservoir for SNV in this location. We identified SNV antibodies in 40% of cactus mice sampled.",2018,6,NA,zover
93,10.1111/j.1948-7134.2011.00178.x,"Hantaan virus surveillance targeting small mammals at Dagmar North Training Area, Gyeonggi Province, Republic of Korea, 2001-2005","In response to a hemorrhagic fever with renal syndrome case in November 2000, a seasonal rodent-borne disease surveillance program was initiated at Dagmar North Training Area (DNTA), Gyeonggi Province, Republic of Korea. From April 2001-December 2005, 1,848 small mammals were captured. Apodemus agrarius accounted for 92.5%, followed by Mus musculus (3.6%), Crocidura lasiura (2.1%), and Microtus fortis (1.1%). Three species of rodents were found to be antibody-positive (Ab+) for Hantaan virus (HTNV): A. agrarius (22.3%), M. musculus (9.1%), and M. fortis (5.0%). Ab+ rates for A. agrarius increased with increasing weight (age), except for those weighing <10 g. The peak HTNV transmission period in Korea coincided with the peak reproductive potential of A. agrarius during the fall (August/September) surveys. HTNV strains from DNTA were distinct from HTNV strains from the People's Republic of China. From these studies, more accurate risk assessments can be developed to better protect personnel from rodent-borne diseases.",2011,11,30,zover
94,10.3201/eid2001.121024,"Dobrava-Belgrade Virus in<i>Apodemus flavicollis</i>and<i>A. uralensis</i>Mice, Turkey","In 2009, human Dobrava-Belgrade virus (DOBV) infections were reported on the Black Sea coast of Turkey. Serologic and molecular studies of potential rodent reservoirs demonstrated DOBV infections in Apodemus flavicollis and A. uralensis mice. Phylogenetic analysis of DOBV strains showed their similarity to A. flavicollis mice-borne DOBV in Greece, Slovenia, and Slovakia.",2014,1,NA,zover
96,10.1016/j.virusres.2007.04.015,Detection of Dobrava hantaviruses in Apodemus agrarius mice in the Transdanubian region of Hungary,"Dobrava hantavirus (DOBV) belongs to the genus Hantavirus of the family Bunyaviridae, and is carried by yellow necked and striped field mice (Apodemus flavicollis and Apodemus agrarius), respectively. The aim of this study was to detect and genetically characterize new DOBV strains in rodents captured in the Transdanubian region of Hungary. Rodent corpses were dissected and lung tissues were used for hantavirus detection by SYBR Green-based real-time RT-PCR using specific primers located in the S-segment of the virus genome. A total of 22 captured animals of the Apodemus species were tested for the presence of DOBV. Three out of the 22 mice were positive. Phylogenetic and molecular sequence analyses showed that Hungarian DOBVs were most closely related to those viruses detected from A. agrarius mice in Slovenia. Based on our new data from the region we concluded that extended reservoir studies would be necessary in the future.",2007,9,NA,zover
97,10.1099/0022-1317-76-11-2801,"Genetic and antigenic properties of Dobrava virus: a unique member of the Hantavirus genus, family Bunyaviridae","We examined the genetic and antigenic properties of Dobrava (DOB) virus, a hantavirus associated with severe haemorrhagic fever with renal syndrome in Europe. Cloning and sequence analyses revealed the DOB M segment to consist of 3644 nucleotides, with a coding capacity of 1134 amino acids in the virus complementary-sense RNA (cRNA). Seven potential asparagine-linked glycosylation sites were identified in the M segment gene product, one in the G2 and six in the G1 coding regions. The S segment is 1667 nucleotides long, and has a single ORF in the cRNA capable of encoding a protein of 428 amino acids. Phylogenetic comparisons of the M and S segments of DOB virus to those of other hantaviruses indicated that DOB virus is similar to, but clearly distinct from Hantaan (HTN) and Seoul (SEO) viruses. Certain G2-specific, but not G1-specific monoclonal antibodies to HTN virus reacted to the same titre with DOB and homologous viral antigen. Plaque-reduction neutralization tests indicated that, of the sera tested, only antisera to SEO virus were able to neutralize DOB virus to a titre greater than 1:10; however, this neutralization titre was eightfold lower than that observed with homologous SEO virus. The data reported here confirm that DOB virus is a unique species in the Hantavirus genus, family Bunyaviridae.",1995,11,1,zover
98,10.3201/eid2511.190449,Molecular Epidemiology of Hantaviruses in the Czech Republic,"During 2008-2018, we collected samples from rodents and patients throughout the Czech Republic and characterized hantavirus isolates. We detected Dobrava-Belgrade and Puumala orthohantaviruses in patients and Dobrava-Belgrade, Tula, and Seewis orthohantaviruses in rodents. Increased knowledge of eco-epidemiology of hantaviruses will improve awareness among physicians and better outcomes of patients.",2019,11,NA,zover
99,10.1002/jmv.21635,"Co-circulation of three pathogenic hantaviruses: Puumala, Dobrava, and Saaremaa in Hungary","Hantaviruses (Bunyaviridae) cause hemorrhagic fever with renal syndrome (HFRS) in Eurasia and hantavirus (cardio)pulmonary syndrome (HCPS) in the Americas. HFRS is caused by Hantaan virus (HTNV), Seoul virus (SEOV), Dobrava virus (DOBV), Saaremaa virus (SAAV), and Puumala virus (PUUV). Of those, only HTNV is not present in Europe. In recent years, hantaviruses, described in other parts of Europe, were also detected at various locations in Hungary. To study the genetic properties of Hungarian hantaviruses in detail, sequences of the viral S and M segments were recovered from bank voles (Myodes glareolus), yellow-necked mice (Apodemus flavicollis), and striped field mice (Apodemus agrarius) trapped in the Transdanubian region. As expected, the sequences recovered belonged, respectively, to PUUV (two strains), DOBV (one strain), and SAAV (one strain). On phylogenetic trees two new Hungarian PUUV strains located within the well- supported Alpe-Adrian (ALAD) genetic lineage that included also Austrian, Slovenian, and Croatian strains. Analysis of the Hungarian SAAV and DOBV genetic variants showed host-specific clustering and also geographical clustering within each of these hantavirus species. Hungarian SAAV and DOBV strains were related most closely to strains from Slovenia (Prekmurje region). This study confirms that multiple hantaviruses can co-circulate in the same locality and can be maintained side-by-side in different rodent species.",2009,12,NA,zover
100,10.1002/jmv.10304,Genetic characterization of new Dobrava hantavirus isolate from Greece,"The first complete genome sequence of Dobrava hantavirus isolated from yellow-necked mouse Apodemus flavicollis trapped in the northeastern Greece is described. The S, M, and L segments of the Greek isolate of Dobrava virus are 1673, 3635, and 6532 nucleotides (nt) long, respectively, and encode the nucleocapsid (N) protein of 429 amino acids (aa), glycoprotein precursor of 1135 aa, and the L protein of 2151 aa. N protein contains three cysteine residues conserved in all known hantaviruses, as well as structural domains responsible for the RNA binding and presumable interaction with the apoptosis enhancer Daxx. All cysteine residues and glycosylation sites that are conserved among G1G2 sequences of all hantaviruses species were also found in the Greek isolate. The L protein contains all the polymerase motifs and structural domains found in other hantavirus polymerases. Comparison of the Greek isolate of Dobrava virus with other hantaviruses showed the highest level of sequence homology with Dobrava virus isolate from Slovenia. Other hantaviruses carried by Murinae rodents (Saaremaa, Hantaan, Seoul, and Thailand viruses) were more divergent and hantaviruses carried by Arvicolinae or Sigmodontinae rodents showed the highest genetic diversity with the Greek isolate of Dobrava. The results of phylogenetic analyses confirmed these observations and showed a monophily of all the Dobrava virus strains that, in turn, shared more ancient ancestors first with Saaremaa virus and then with other Murinae-borne hantaviruses.",2003,1,13,zover
101,10.1002/jmv.21929,Genetic evidence for the presence of two distinct hantaviruses associated with Apodemus mice in Croatia and analysis of local strains,"In Europe, Dobrava-Belgrade (DOBV), Saaremaa (SAAV), and Puumala (PUUV) viruses are known to cause hemorrhagic fever with renal syndrome (HFRS). All three hantaviruses are now found in Croatia. Lung tissue samples of 315 Apodemus mice trapped in 2003-2004 were screened for the presence of hantaviral N-Ag and 20 mice (6.3%) were found either strongly positive or weak/suspected-positive. Partial sequences of hantavirus M and S segments were recovered by RT-PCR from six mice and subjected to (phylo)genetic analysis that revealed the presence of four novel strains of DOBV and one of SAAV. Curiously, one of the newly described DOBV strains was found in Apodemus agrarius mouse, that is, not in the traditional host, A. flavicollis mice, suggesting a spillover event. S segment sequences recovered previously from HFRS cases [MarkotiÄ‡ et al., 2002] were confirmed as DOBV sequences; one of which appeared particularly close to the prototype Slovenian DOBV isolate. Taken together with earlier data on PUUV in Croatia, these results show a co-circulation of three European hantavirus pathogens in this country. So far, not a single SAAV sequence has been recovered from HFRS patients either in Croatia or neighboring Slovenia and Hungary nor in Slovakia suggesting a somewhat lower fequency of acute SAAV infection in humans in this part of Europe than for example in the Baltics.",2010,11,24,zover
102,10.1089/vbz.2013.1457,"Survey for Hantaviruses, Tick-Borne Encephalitis Virus, and<i>Rickettsia</i>spp. in Small Rodents in Croatia","In Croatia, several rodent- and vector-borne agents are endemic and of medical importance. In this study, we investigated hantaviruses and, for the first time, tick-borne encephalitis virus (TBEV) and Rickettsia spp. in small wild rodents from two different sites (mountainous and lowland region) in Croatia. In total, 194 transudate and tissue samples from 170 rodents (A. flavicollis, n=115; A. agrarius, n=2; Myodes glareolus, n=53) were tested for antibodies by indirect immunofluorescence assays (IIFT) and for nucleic acids by conventional (hantaviruses) and real-time RT-/PCRs (TBEV and Rickettsia spp.). A total of 25.5% (24/94) of the rodents from the mountainous area revealed specific antibodies against hantaviruses. In all, 21.3% (20/94) of the samples from the mountainous area and 29.0% (9/31) from the lowland area yielded positive results for either Puumala virus (PUUV) or Dobrava-Belgrade virus (DOBV) using a conventional RT-PCR. All processed samples (n=194) were negative for TBEV by IIFT or real-time RT-PCR. Serological evidence of rickettsial infection was detected in 4.3% (4/94) rodents from the mountainous region. Another 3.2% (3/94) rodents were positive for Rickettsia spp. by real-time PCR. None of the rodents (n=76) from the lowland area were positive for Rickettsia spp. by real-time PCR. Dual infection of PUUV and Rickettsia spp. was found in one M. glareolus from the mountainous area by RT-PCR and real-time PCR, respectively. To our knowledge, this is the first detection of Rickettsia spp. in small rodents from Croatia. Phylogenetic analyses of S- and M-segment sequences obtained from the two study sites revealed well-supported subgroups in Croatian PUUV and DOBV. Although somewhat limited, our data showed occurrence and prevalence of PUUV, DOBV, and rickettsiae in Croatia. Further studies are warranted to confirm these data and to determine the Rickettsia species present in rodents in these areas.",2014,7,NA,zover
103,10.1089/vbz.2014.1603,Rodents and Risk in the Mekong Delta of Vietnam: Seroprevalence of Selected Zoonotic Viruses in Rodents and Humans,"In the Mekong Delta in southern Vietnam, rats are commonly traded in wet markets and sold live for food consumption. We investigated seroprevalence to selected groups of rodent-borne viruses among human populations with high levels of animal exposure and among co-located rodent populations. The indirect fluorescence antibody test (IFAT) was used to determine seropositivity to representative reference strains of hantaviruses (Dobrava virus [DOBV], Seoul virus [SEOV]), cowpox virus, arenaviruses (lymphocytic choriomeningitis virus [LCMV]), flaviviruses (tick-borne encephalitis virus [TBEV]), and rodent parechoviruses (Ljungan virus), using sera from 245 humans living in Dong Thap Province and 275 rodents representing the five common rodent species sold in wet markets and present in peridomestic and farm settings. Combined seropositivity to DOBV and SEOV among the rodents and humans was 6.9% (19/275) and 3.7% (9/245), respectively; 1.1% (3/275) and 4.5% (11/245) to cowpox virus; 5.4% (15/275) and 47.3% (116/245) for TBEV; and exposure to Ljungan virus was 18.8% (46/245) in humans, but 0% in rodents. Very little seroreactivity was observed to LCMV in either rodents (1/275, 0.4%) or humans (2/245, 0.8%). Molecular screening of rodent liver tissues using consensus primers for flaviviruses did not yield any amplicons, whereas molecular screening of rodent lung tissues for hantavirus yielded one hantavirus sequence (SEOV). In summary, these results indicate low to moderate levels of endemic hantavirus circulation, possible circulation of a flavivirus in rodent reservoirs, and the first available data on human exposures to parechoviruses in Vietnam. Although the current evidence suggests only limited exposure of humans to known rodent-borne diseases, further research is warranted to assess public health implications of the rodent trade.",2015,1,NA,zover
