doi,search_abstract,class,nchar_abstract
10.1016/s0304-4017(97)00021-6,a total of 114 nonhuman primates comprising 51 vervet monkeys cercopithecus aethiops and 63 olive baboons papio anubis were examined for cryptosporidium oocysts using the modified kinyoun s acid fast staining technique about 51 7 59 114 of all the specimens examined representing 78 4 40 51 of the vervet monkeys and 30 1 19 63 of the olive baboons were positive bright red refractile cryptosporidium oocysts were observed in the stained faecal smears against a blue background up to 4 6 66 7 of the diarrhoeic vervets and 2 3 66 7 baboons respectively were positive while the rest were negative to the best of our knowledge this report is the first on cryptosporidiosis in old world nonhuman primates in kenya and probably the first report of the infection in olive baboons given the high frequency of oocysts in diarrhoeal specimens the parasite may have been associated with clinical diarrhoea in the sampled animals cryptosporidium which has been reported in humans in kenya is also suspected to occur in livestock its isolation from clinically ill normal colony borne and newly caught feral nonhuman primates has significant implications for both public health and animal agriculture in kenya,gmpd,1197
10.1016/s0304-4017(97)00185-4,the authors describe the ultrastructural morphology of the cyst wall of sarcocysts in the muscles from ibex found dead and sent to this department to be examined several samples of the diaphragm were taken from 52 ibex of different age and sex one hispanic and the others from the gran paradiso national park gpnp the samples were prepared for electron microscopy after testing for sarcocystiosis through extemporaneous microscopic examination eighty six percent were positive the morphology of the cyst wall led to the identification of three types of sarcocysts in the ibex of the gpnp and a further type in the hispanic one the morphology of the sarcocysts wall is similar to the wall of the species described in the domestic ruminants from several authors,gmpd,759
10.1016/s0304-4017(97)00199-4,a serologic survey was carried out in order to detect antibodies against babesia ovis in a large population of spanish ibex capra pyrenaica from a hunting reserve in catalonia northeastern spain for this purpose an indirect fluorescent antibody test ifat was developed using a b ovis isolate of ovine origin as antigen of the total 475 sera tested 155 32 6 showed titres between 1 160 and 1 1280 and were considered positive these results reveal that exposure of spanish ibex to b ovis is common in the studied area no significant differences could be detected when comparing season or year of capture and age or sex of the animals in positive and negative samples a high proportion of low titres was found in comparison to those reported by other researchers in sheep in spain this could be a consequence of the existence of some minor antigenic differences between b ovis of domestic sheep and that found in spanish ibex,gmpd,922
10.1016/s0304-4017(98)00131-9,canine heartworm dirofilaria immitis was detected by antigen elisa in 8 6 4 of 125 red foxes vulpes vulpes captured in the melbourne australia metropolitan area circulating microfilariae were also detected by whole blood filtration in six of these foxes cursory sampling of mosquitos at two of the sites where positive foxes were captured revealed the existence of two known mosquito vectors of dirofilaria the existence of widespread fox populations in melbourne together with known mosquito vectors may offer the potential for a sylvatic cycle of canine heartworm within the urban area,gmpd,587
10.1016/s0304-4017(98)00143-5,the objective of this study was to investigate the gastro intestinal git parasites commonly occurring in captive and wild trapped wt non human primates baboons vervets and sykes in kenya and compare their prevalence three hundred and fifteen faecal samples were subjected to a battery of diagnostic tests namely direct smear modified formal ether sedimentation kato thick smear harada mori techniques for parasite detection and culture to facilitate nematode larvae identification of these 203 64 4 harboured helminths and 54 17 1 had protozoa the helminth parasites comprised strongyloides fulleborni 141 44 8 trichuris trichuira 200 63 5 oesophagostomum sp 48 15 2 trichostrongylus sp 73 23 2 enterobius vermicularis 44 14 0 schistosoma mansoni 4 92 4 3 and streptopharagus sp 68 21 6 protozoan parasites consisted of entamoeba coli 204 64 8 balantidium coli 127 40 3 and entamoeba histolytica 78 24 8 both wt and colony borne cb primates had similar species of parasites but higher prevalences of protozoan infection were observed in cb baboons while helminth infections were relatively more common in wt primates some of the parasites observed in this study are reported to be zoonotic in various parasitological literatures chemoprophylaxis and other managerial practices were believed to be responsible for the lower worm prevalence in cb primates similar intervention against protozoa and other agents will not only improve primate health but also increase safety to animal handlers and colony workers,gmpd,1508
10.1016/s0304-4017(98)00192-7,the prevalences of helminth parasites found on red foxes collected in two different habitats of the ebro valley in north eastern spain were compared twenty helminth species including one trematode six cestodes 12 nematodes and one acanthocephalan were found metorchis albidus uncinaria stenocephala and dirofilaria immitis were more prevalent in the irrigated lands close to the main rivers of the study area whereas trichuris vulpis and pterygodermatites affinis showed higher prevalences in the semiarid stepparian habitat habitat characteristics need to be considered when surveying helminths over large geographical areas the study shows that in the ebro valley the fox constitutes a reservoir host for several helminth species that are parasites of the domestic dog or the wolf or may have importance as zoonoses,gmpd,817
10.1016/s0304-4017(98)00226-x,this paper combines the results from a preliminary survey of occurrence of cryptosporidium species in faecal samples from a range of wild mammal species inhabiting mainland britain with a tabulated literature review of world wide reports of the parasite in those british mammals in the literature c parvum was reported from 11 wild mammals found in britain and elsewhere mainly in rodents but also in insectivores lagomorphs and ungulates c muris has been reported only in wild rodents the sample survey detected c parvum in seven additional british species including carnivores overall 12 of 184 faecal samples tested with a genus specific monoclonal antibody contained oocysts of c parvum the results further emphasise the widespread distribution of cryptosporidium amongst wild mammals in britain highlight the potential for transmission between host species and warn of the possibility of direct exposure for anybody using the countryside for professional or recreational purposes e g farmers and ramblers to previously unregarded sources of infection it seems increasingly likely that most if not all mammalian species can be infected with c parvum,gmpd,1153
10.1016/s0304-4017(98)00263-5,echinococcus multilocularis was demonstrated in 5 out of 272 foxes in the netherlands close to the border with germany and belgium besides microscopic examination of mucosal scrapings two different pcr assays were used based on the detection of e multilocularis dna in colon content two distinct areas in the netherlands were positive for e multilocularis two positive foxes were found in the northern province of groningen and three positive foxes were found in the southern province of limburg both pcr assays detected more positive foxes compared to microscopic examination of the intestinal content this is the first report of e multilocularis in foxes occurring in the netherlands,gmpd,685
10.1016/s0304-4017(99)00002-3,a seroepidemiological survey was conducted to investigate the prevalence of antibodies reactive with the ehrlichia canis and ehrlichia phagocytophila genogroup antigens and the spotted fever group sfg rickettsiae antigens in jackals in israel canis aureus syriacus to assess the possible role of the jackal in the epidemiology of these diseases fifty three serum samples from jackals were assayed by the indirect immunofluorescence antibody test antibodies to e canis were detected in 35 8 serum samples while 26 4 of the samples tested were positive to ehrlichia chaffeensis twenty six percent of the jackals tested were seropositive to e phagocytophila of which 5 7 were seropositive to e phagocytophila alone without any seroreactivity to either e canis or e chaffeensis fifty five percent of the jackals were seropositive to the sfg rickettsiae antigens the results suggest a high exposure rate of jackals in israel to e canis positive reactivity to e chaffeensis was considered to be due to antigenic cross reactions with e canis the study demonstrated for the first time the presence of e phagocytophila antibodies in free range jackals the high incidence of antibodies to the sfg rickettsiae and their relatively high antibody titers was suggestive of either recent or persistent infection the possibility that jackals may play a role in the transmission of e canis e phagocytophila and the sfg rickettsiae for human and canine infections is discussed,gmpd,1458
10.1016/s0304-4017(99)00073-4,in a 20 year survey the following ectoparasites were collected from nubian ibexes larvae of an unidentified oestrus sp collected from the nasal cavities sinuses and horns hippoboscid flies lipoptena chalcomelaena specific to the nubian ibex blood sucking lice linognathus africanus and unidentified biting lice damalinia sp ibexes were severely infested with the cattle tick boophilus annulatus a few hyalomma anatolicum excavatum ticks were also collected in five ibexes kept in two zoos showing otitis psoroptes cuniculi was identified and from skin scrpaings of nine animals with severe dermatitis in three other zoos sarcoptes scabiei was isolated infestation of nubian ibexes with sucking and biting lice as well as h anatolicum excavatum is reported for the first time the ectoparasites collected from gazelles were hippoboscid flies lipoptena capreoli calliphorid flies lucilia sericata and calliphora sp sucking lice linognathus africanus and solenopotes capillatus and unidentified biting lice damalinia sp fleas ctenocephalides felis felis and ticks b annulatus rhipicepahlus bursa rhipicephalus turanicus h anatolicum excavatum and h marginatum rufipes in skin scrapings of four gazelles with local dermatitis in the fetlocks chorioptes bovis was identified neoschoengastia sp was found in craters between the claws in three gazelles,gmpd,1344
10.1016/s0304-4017(99)00164-8,twenty four percent of hog deer cervus porcinus that ranged free on a farm in samut prakarn province thailand died showing nervous signs between september 1997 and february 1998 the nervous signs shown by most of them included ataxis paresis of hind limbs lateral recumbency excitation and convulsion six animals and one carcass were submitted for diagnosis at the national institute of animal health bangkok trypanosoma evansi was detected in blood and cerebrospinal fluid of four and five animals respectively antibodies to t evansi were found in all the hog deer by indirect enzyme linked immunosorbent assay histopathological observation revealed a generalised non suppurative meningoencephalitis affecting the white and grey matter at all levels of the brain typically there were broad perivascular cuffs of mononuclear inflammatory cells including lymphocytes and some mott cells no trypanosomes were found in any tissue examined by conventional histopathology however numerous t evansi were demonstrated by streptavidine biotin immunohistochemistry in neuropil and virchow robin spaces of brain in three animals,gmpd,1118
10.1016/s0304-4017(99)00179-x,the study of trichinella isolates from wildlife in germany revealed the presence of trichinella spiralis and trichinella britovi in wild boars and foxes t spiralis was detected in meat products imported from spain which is one of the two endemic areas of domestic trichinellosis in the european union it was also detected in meat from a grizzly bear marketed in alaska and trichinella nativa was detected in a polar bear from the berlin zoo these results stress the importance of examining for trichinella live animals and meat products imported to germany from both eu and non eu countries furthermore carnivores from arctic regions that are born in the wild and placed in zoos can represent a risk for the introduction of the freeze resistant species of trichinella in a new region if once the animal dies the carcass is not properly destroyed,gmpd,845
10.1016/s0304-4017(99)00219-8,a total of 6141 foxes vulpes vulpes were examined for infection with trichinella the foxes were killed in denmark during the hunting season 1995 1996 and 1997 1998 3133 and 3008 respectively foxes included in the investigation came from throughout the country with the exception of the island of bornholm the right foreleg from each fox was submitted for investigation the legs were stored at 20 degrees c for 3 10 months prior to examination following thawing muscle tissue 10 g from each leg was examined by trichinoscopy and by a pepsin hcl digestion technique in 1995 1996 three foxes were found positive corresponding to a prevalence of 0 001 each of the infected foxes harboured an extremely low infection i e about one larva per 10 g muscle tissue it was not possible to obtain sufficient larval material for species identification all three foxes were shot in the vicinity of a small village in the north western part of denmark in 1997 1998 no trichinella cases were found the results compared with previous studies indicate that the prevalence of infection of trichinella sp among wild living foxes in denmark is very low this is further supported by the fact that no infection of trichinella sp has been found in slaughtered pigs in denmark for more than 65 years which suggests that the infection pressure is very low considering the facts above we conclude that the risk of trichinella infections is negligible in intensive indoor pig production units in denmark whereas high local prevalence of trichinella infections in the wildlife might constitute a serious risk for the expanding outdoor pig production,gmpd,1620
10.1016/s0304-4017(99)00221-6,three groups of chamois rupicapra pyrenaica and three groups of spanish ibex capra pyrenaica were established to study the effects of sarcoptic mange on serum proteins and immunoglobulin g igg levels the first group of chamois consisted of 22 healthy pyrenean chamois r pyrenaica pyrenaica from a non infested area the second group consisted of 20 healthy cantabrian chamois r p parva from an area where sarcoptic mange has been reported since 1994 and the third group consisted of 16 cantabrian chamois from the same area but naturally infested by sarcoptes scabiei the first group of spanish ibex was 39 healthy animals from a sarcoptic mange non infested area the second group was 23 healthy animals from a sarcoptic mange infested area and the third group consisted of 20 animals from the same area but naturally infested with the parasite blood samples were taken after killing the animals as part of hunting programmes values for total proteins gamma globulin and igg were higher in infested and healthy chamois from the infested area compared to healthy chamois from the non infested area and igg levels were higher in infested chamois compared to healthy exposed chamois values for alpha2 globulin were higher in healthy cantabrian chamois in spanish ibex albumin alpha2 globulin and igg levels were lower in the healthy spanish ibex from the non infested area than in healthy animals from an infested area the differences found in the chamois were indicative of the establishment of a humoral antibody response in the animals in contact with the disease as the igg levels were not significantly different between healthy and infested spanish ibex from the same area a different pattern of chronic infection with humoral response to the disease was suggested,gmpd,1766
10.1016/s0378-1135(00)00192-9,canine distemper virus cdv infects a broad range of carnivores to assess whether wild carnivores may play a role in the epidemiology of cdv in domestic dogs in germany the seroprevalence of cdv was determined in sera from red foxes 30 of 591 5 and stone martens 2 of 10 20 antiviral antibodies were detected using a neutralization assay whereas sera of raccoons two mink one pine marten and one raccoon dog were negative in foxes there was a significantly higher prevalence in urban and suburban compared to rural regions when testing lung and spleen tissue samples fox badger stone marten polecat raccoon dog 13 of 253 5 1 foxes 2 of 13 15 4 stone martens and 2 of 6 33 badgers were virus positive using rt pcr phylogenetic analysis based on partial sequences of the f gene revealed a distinct relatedness to canine cdv isolates together the data support the concept of transmission of cdv between domestic dogs and wild carnivores,gmpd,932
10.1016/s0378-1135(00)00309-6,in two studies carried out during the period 1995 1998 paratuberculosis was diagnosed in domestic and wild ruminants in the czech republic the isolated mycobacterium avium subspecies paratuberculosis strains were analysed by standardised restriction fragment length polymorphism rflp pavlik i horvathova a dvorska l bartl j svastova p du maine r rychlik i 1999 j microbiol methods 38 155 167 in december 1992 19 late pregnant charolais heifers were imported to the czech republic from hungary original import from france to hungary one 11 month old heifer roamed in the wild in a range of approximately 15 20km for 7 months from november 1993 to may 1994 upon capture the animal showed clinical signs of paratuberculosis emaciation and diarrhoea seven other animals from the same herd were infected with the identical rflp type b c1 of m paratuberculosis during the period 1995 1996 samples were taken and examined from the small intestine and corresponding lymph nodes of 84 wild ruminants 19 red deers cervus elaphus and 65 roe deers capreolus capreolus these wild ruminants originated from 44 different locations within the same district from as the infected escaped heifer five m paratuberculosis strains were isolated one strain of rflp type b c1 from a stag and three strains of rflp type b c1 and one strain of rflp type b c9 from roe deer the three wild ruminants one stag and two roe deer infected with the same rflp type b c1 were detected in the same area as the heifer suggesting that this was the likely infection source however the infection source of the roe deer infected with strain of rflp type b c9 was obviously different and the stags that escaped from the farm were purchased from an area infected with this rflp type in the second study carried out during 1997 1998 in the whole czech republic divided into 76 districts 718 wild ruminants were examined from 90 of the districts m paratuberculosis was isolated from 25 3 5 animals from the wild from farms and from game parks 7 1 of 132 red deers 1 5 of 336 roe deers 3 9 of 178 fallow deers dama dama and 4 2 of 48 moufflons ovis musimon this study discovered three rflp types b c1 d c12 and m c16 a surprising finding was that of m paratuberculosis rflp type b c1 infection in roe deer and a fallow deer in their natural habitat the infection source was determined to have originated from two imported holstein and limousine cattle herds infected with the same strain in the case of a mother and daughter roe deer infected with rflp type m c16 and a fallow deer infected with rflp type d c12 all roaming in their natural habitat the infection source was not discovered the highest incidence of clinically ill wild ruminants was found in farmed red deer and no relationship was found between the rflp type or ruminant species and clinical status of animal,gmpd,2828
10.1016/s0378-1135(01)00371-6,forty caspian seals were surveyed seroepidemiologically between 1993 and 1998 around the times of mass mortality that occurred in 1997 in the caspian sea and seven baikal seals were also surveyed in 1998 virus neutralizing tests and elisa clearly suggested that distemper virus epidemic was caused in caspian seals before the spring of 1997 and that cdv infection continued to occur in lake baikal in recent years,gmpd,413
10.1016/s0378-1135(01)00497-7,the incidence of neoplasia in california sea lions csls is considered to be unusually high electron microscopic examination of some of these urogenital tumours revealed the presence of virions with typical herpes like structure while current attempts to cultivate this virus have not been successful molecular studies employing dna extracted from tumour tissues allowed both the classification of the agent and its identification in tumours and archived tissue samples two genome fragments generated using degenerate primers in pcr demonstrated highest identities with other mammalian gammaherpesviruses phylogenetic analysis showed that this novel virus tentatively designated otarine herpesvirus 1 othv 1 grouped with members of the gammaherpesvirus subfamily and was distinct from phv 2 a previously described pinniped gammaherpesvirus an othv 1 specific pcr was established and used to investigate the presence of this virus in csl tissues pcr of dna isolated from animals with these tumours demonstrated that this virus was present in 100 16 16 of tumours furthermore dna extracted from archived brain and muscle tissues was also positive in 29 4 14 and 50 7 14 of cases examined this preliminary study provides evidence to support the hypothesis that the presence of this novel gammaherpesvirus is a factor in the development of urogenital carcinoma in csls,gmpd,1363
10.1016/s0378-1135(02)00012-3,in the uk there has been a sharp rise in the incidence of bovine tuberculosis since the early 1990s and the badger has been identified as an important wildlife reservoir for this infection infected badgers can excrete mycobacterium bovis putting other badgers and cattle at risk of becoming infected vaccination has been proposed as an approach to reducing the excretion of m bovis by tuberculous badgers in order to evaluate the efficacy of a badger vaccine it will be necessary to accurately determine the number of badgers excreting m bovis without removing them for post mortem evaluation the existing live tests for tuberculosis in the badger culture indirect elisa western blot have not been assessed for their ability to detect badgers excreting m bovis over the past 18 years badgers from 31 social groups have been trapped and sampled in a study area of the cotswold escarpment we have examined the serological responses of 128 badgers trapped between 1985 and 1998 from social groups where m bovis infection was endemic these responses were compared with culture from faeces urine tracheal aspirates and bite wound swabs taken from these animals while alive elisa was found to be more sensitive than western blot in detecting badgers excreting m bovis the majority of culture positive badgers excreted m bovis intermittently over the period of study as a result there was only a 27 5 chance of sampling a badger for culture when it was excreting m bovis in contrast a positive elisa result correctly predicted 68 2 of badgers with a history of excreting m bovis in the absence of alternative live tests for the badger the brock test indirect elisa appears to be more valuable than culture for measuring the effect of vaccination on reducing the number of badgers at risk of transmitting tuberculosis,gmpd,1809
10.1016/s0378-1135(96)01304-1,isolation of aujeszky s disease virus adv from an injured female wild boar sus scrofa shot dead by hunters in an area adjacent to the abruzzo national park is reported the brain was submitted for attempted virus isolation following episodes of mortality in several dogs and cats fed with meat from the wild boar virus was isolated on first passage from the brain of the wild boar the restriction fragment length polymorphism profile of the isolate was assessed as a type i the role of stress in reactivating latent adv in wild boars the possibility of transmitting infection to endangered species such as bears ursus arctos wolves canis lupus wild cats felis silvestris and lynx lynx lynx present in the abruzzo national park and the possible role of wild boars as reservoirs for adv is discussed,gmpd,796
10.1016/s1383-5769(00)00049-0,the raccoon dog nyctereutes procyonoides viverrinus is known to acquire canine heartworm dirofilaria immitis infection we surveyed the prevalence of heartworm infection in free ranging raccoon dogs in the nishi tama tokyo and kanagawa areas of japan a total of 75 raccoon dog carcasses including 29 animals from the nishi tama area and 46 from the kanagawa area were necropsied between 1992 and 1993 eight out of 75 raccoon dogs were found to be infected overall 10 7 the prevalence of infection was 6 and 16 in nishi tama and kanagawa respectively microfilarial production was observed in the uterus of one female adult dog,gmpd,624
10.1016/s1383-5769(01)00073-3,forty three red foxes vulpes vulpes schrencki and nine raccoon dogs nyctereutes procyonoides viverrinus were captured in otaru city hokkaido japan and examined by muscle digestion for the presence of trichinella sp larvae of the foxes five 11 6 were positive for larvae of trichinella nativa while none of the raccoon dogs were found to be positive this finding suggests that the red foxes are important reservoir hosts of sylvatic trichinellosis in otaru hokkaido this is the first report on trichinella nativa in wild red foxes of hokkaido japan,gmpd,547
10.1017/s0022149x00001048,the intestines of 20 grey peruvian foxes pseudalopex culpaeus were examined for the presence of echinococcus granulosus and other intestinal parasites echinococcus granulosus was not found in foxes but taenia hydatigena and t multiceps were found in 7 and 4 animals respectively the grey fox may not be a suitable definitive host for e granulosus however it may act as a sylvatic reservoir of t hydatigena and t multiceps in the central peruvian andes,gmpd,451
10.1017/s0022149x00001620,chamois rupicapra rupicapra tatrica in the low tatra national park are largely infected with the lungworms muellerius capillaris and m tenuispiculatus and sporadically with dictyocaulus viviparus the mean number of first stage larvae l1 per gram of faeces collected at chamois stands over the years 1981 1988 varied between 28 2 11 9 and 61 6 35 9 the degree of infection in chamois herds was significantly higher in the spring and autumn months except for the spring of 1981 than in the summer season the mean number of l1 per gram found in the dissected chamois lung and intestinal content varied between 64 53 32 7 and 97 5 36 4,gmpd,631
10.1017/s0022149x00008099,three hundred and twenty five domestic cats felis catus from six villages of the hulu sungai tengah and banjar regency of south kalimantan borneo indonesia were examined for filarial nematodes parasites were found in 66 cats of which 61 92 4 had brugia pahangi four 6 1 has b malayi and one 1 5 had dirofilaria repens infection rates ranged from 11 to 22 in cats from secondary forest rice field habitats from 15 to 30 in open village rice field habitats to 50 in an open coastal village in all cases the infection rate of b malayi in man was greater than in cats from the same collecting area the number of b pahangi microfilariae per 20 microliter cat blood ranged from 34 at 1000 hours to 571 at 2200 hours the results of this study suggest that in this region of indonesia the domestic cat is not an important host for maintaining b malayi,gmpd,843
10.1017/s0022149x00013547,angiostrongylus vasorum infection was detected for the first time in eight foxes dusicyon vetulus captured in the south of the state of minas gerais brazil two crossbred dogs were successfully infected orally with larvae from the foxes faeces,gmpd,242
10.1017/s0022149x00015509,sixty eight red foxes were collected from the metropolitan area of copenhagen and examined for helminth infections standard faecal flotations for intestinal parasites gave the following results strongyle eggs 75 0 capillaria eggs 36 8 toxocara eggs 23 5 taenia eggs 1 5 and coccidia oocysts 2 9 gastrointestinal helminths were collected from 21 of the 68 foxes with the following specimens found uncinaria stenocephala 85 7 toxocara canis 81 0 taenia spp 38 1 mesocestoides lineatus 23 8 and polymorphus spp 9 5 faeces of 39 foxes were examined by the baermann method for larvae of cardiopulmonary worms with 20 foxes 51 3 being infected fourteen foxes 35 9 were infected with angiostrongylus vasorum 11 28 2 were infected with crenosoma vulpis and 5 foxes 12 8 were infected with both species muscle digestion of diaphragms from the 68 foxes indicated that none harboured larvae of trichinella spiralis,gmpd,903
10.1017/s0022149x00015960,twenty species of helminth parasites were identified from fox wolf jackal and wild cat material collected in greece of the 314 foxes vulpes vulpes examined 18 helminth species were recovered comprising one trematode eight cestodes seven nematodes and two acanthocephalans with the cestode species mesocestoides sp 73 2 joyeuxiella echinorhynchoides 24 5 and the nematode species uncinaria stenocephala 43 9 and toxara canis 28 6 being the most prevalent five cestode and three nematode species were reported from six wolves canis lupus together with one trematode three cestode and four nematode species from five jackals canis aureus and two cestode and three nematode species from four wild cats felis silvestris examined the species j echinorhynchoides taenia crassiceps and onicola canis and the genera spirometra rictularia and pachysentis are reported here for the first time in greece the results are discussed in the light of the feeding characteristics of wild carnivores in rural areas of greece,gmpd,1005
10.1017/s0022149x00016473,specimens of 12 helminth species were collected from carcasses of eight lynx pardinus temminck 1827 a carnivore endemic to the iberian peninsula these species included brachylaima sp 12 5 trematoda taenia pisiformis 12 5 t polyacantha 25 t taeniaeformis 25 and mesocestoides litteratus 37 5 cestoda eucoleus aerophilus 12 5 ancylostoma tubaeforme 12 5 toxocara cati 37 5 toxascaris leonina 62 5 vigisospirura potekhina potekhina 12 5 mastophorus muris 12 5 and physaloptera praeputialis 12 5 nematoda the helminth fauna in iberian lynx is compared with that of l canadensis and l rufus in america and for l lynx in eurasia the potential relationships between the parasitological data and some geographical historical and dietary factors are discussed,gmpd,750
10.1017/s0022149x00023269,egg excretion of s mattheei was studied for about a year from man baboons and cattle living in their normal environment although the excretory pattern was not unequivocal from man there was a tendency of egg counts to decline with time the baboons showed a seasonal pattern and the cattle a stable pattern throughout the year,gmpd,325
10.1017/s0022149x07821286,eighty nine samples of grey wolf canis lupus l faeces were collected between 2002 and 2004 from two areas in the western beskidy mts south poland helminth eggs were observed in 56 2 of faeces examined these included alaria alata 2 2 taeniid eggs 11 2 toxocara canis 5 6 toxascaris leonina 1 1 eucoleus aerophilus 14 6 ancylostoma caninum 12 3 uncinaria stenocephala 37 and unidentified roundworm eggs of the family strongyloididae 1 1 eucoleus aerophilus is recorded for the first time from poland the results are compared with the helminth fauna of other wolf populations in europe,gmpd,582
10.1017/s0022149x07868775,in the jura mountains plateau and alps of western switzerland important variations in the prevalence of echinococcus multilocularis infection in red foxes were observed between geographical areas from 1990 to 1995 the jura mountains and the plateau had higher mean prevalence levels than the alps with 30 6 32 4 and 18 8 respectively the highest rate was recorded in the plateau in the canton of fribourg with a prevalence of 52 3 the prevalence of e multilocularis infection in foxes in the alpine canton of valais was the lowest 7 1 juvenile foxes were found to be more susceptible to e multilocularis than adults adult foxes were less heavily infected in summer and autumn while the prevalence in juveniles less than 1 year old increased between the spring and winter when they are more than 6 months old the retrospective data relate to the beginning of the 1990s since when a drastic prevalence increase of e multilocularis infection in foxes has occurred in several regions of europe nevertheless the study is a major contribution to the epidemiological situation of e multilocularis in central europe in that it contains valuable information on spatial distribution and seasonal differences in different age groups of foxes,gmpd,1230
10.1017/s0022149x07869203,five critically endangered iberian lynxes lynx pardinus and 35 other sympatric carnivores 19 feral cats felis catus 12 egyptian mongooses herpestes ichneumon and 4 common genets genetta genetta were analysed for helminths in sierra morena and doñana area southern spain ancylostoma tubaeforme which was believed to be harmful for lynx cubs according to a previous study was present in the only lynx and in 53 of cats analysed in doñana 80 in adult cats other species shared in both areas were toxocara cati 1 lynx 31 of cats joyeuxiella pasqualei 1 lynx 21 of cats and mesocestoides sp 2 lynxes 5 of cats only one mongoose was parasitized harbouring larvae of two acantocephalan species not previously reported in the iberian peninsula centrorhynchus sphaerirostris lancea and centrorhynchus longirostris undulatus feral cats may be a reservoir for hookworms and other helminths affecting the iberian lynx in contrast mongooses and genets may not play a role in the epidemiology of these species,gmpd,995
10.1017/s0022149x08912384,in order to identify the respective importance of the ecological and biological factors involved in the transmission of echinococcus multilocularis we estimated grassland vole intermediate host microtus sp and arvicola terrestris population densities in relation to the diet of the definitive host red fox vulpes vulpes and with the prevalence of e multilocularis in the fox population the study was conducted in the ardennes north eastern france which is an area with a high incidence of alveolar echinococcosis surface index methods showed that microtus was the most abundant intermediate host in the area furthermore microtus was present in one third of the 144 faeces and 98 stomach content samples examined and represented more than two thirds of the rodent occurrences red fox predation on microtus was significantly correlated with microtus relative abundance in contrast the relative abundance of a terrestris was very low this species as well as clethrionomys glareolus and apodemus sp was little consumed e multilocularis prevalence in foxes was determined from carcasses and reached 53 95 confidence interval 45 61 intensity of infection varied from 2 to 73 380 worms per fox with 72 of the sampled worm burden harboured by 8 of the sampled foxes the selected explanatory variables sex year age class health and nutritional condition and season failed to predict prevalence rate and worm burden the high prevalence rate in foxes indicates the possibility of intense e multilocularis transmission apart from periods or in landscapes favourable to large population outbreaks of grassland rodents,gmpd,1604
10.1017/s0022149x9900013x,of 17 trichinella isolates from domestic pigs and wild boars sus scrofa in regions where trichinella nativa is widespread among sylvatic animals two wild boars from estonia were found to be naturally infected with this trichinella species the other 15 animals were infected with trichinella spiralis trichinella nativa is tolerant to freezing when in the muscles of carnivores the biological characteristics and temperature tolerance of this species in swine need to be further investigated if pork is certified for consumption following freezing,gmpd,546
10.1017/s0022149x99000414,a larvoscopic examination of faeces collected from localities inhibited by chamois in the tatra national park tanap in 1997 demonstrated the presence of the lung nematodes muellerius spp likely to be m tenuispiculatus and m capillaris and neostrongylus linearis the overall prevalence of lung nematodes in chamois herds in tanap was 48 4 with prevalences of 45 6 and 11 9 for muellerius spp and n linearis respectively no significant differences in lung nematode prevalences were observed in the biotopes of tanap with prevalence values of 44 9 being recorded in the high tatras and 58 5 in the belianske tatras individual species were in equal proportion in both biotopes although n linearis was significantly less prevalent 11 2 13 8 the prevalence of lung nematodes in the high tatras varied from 25 0 to 84 2 within individual localities while in the belianske tatras it was more proportionate 50 0 85 7 in the high tatras the prevalence of lung nematodes in the chamois herds peaked during august declining to its lowest in october a similar prevalence was also recorded for muellerius species while the minimum prevalence of n linearis was found in july in the belianske tatras the prevalence of lung nematodes including both species of muellerius peaked in july and gradually decreased until october on the other hand n linearis was most prevalent in october the mean l1 count per gram faeces was low 7 6 13 2 larvae g 1,gmpd,1427
10.1017/s0031182000055761,antigenic differences between intra lymphocytic theilerial parasites isolated from the blood of 18 african buffalo and grown in vitro were assessed with anti schizont monoclonal antibodies mabs there was marked antigenic diversity both between isolates from different buffalo and between isolates taken at different times from the same buffalo many of the isolates from both wild and captive buffalo appeared to consist of mixed parasite populations some isolates were found by limiting dilution cloning and mab testing to contain at least 3 or 4 distinct populations of theileria once cloned theileria infected lymphoblastoid cell lines retained their mab profiles during prolonged in vitro cultivation and when recloned the subclones had the same mab profile as their parent clone the implications of these results for further studies on buffalo derived theilerial parasites are discussed,gmpd,890
10.1017/s0031182000075971,sarcocysts from the tongue muscle of a european badger meles meles are reported for the first time and described by light and transmission electron microscopy judging from the ultrastructure of the cyst wall the parasite is similar to the species sarcocystis gracilis rátz 1909 sensu erber boch barth 1978 from roe deer and possibly identical with it this is noteworthy regarding the intermediate host specificity,gmpd,413
10.1017/s0031182000076952,a cross sectional parasitological study of a population of wild olive baboons papio cynocephalus anubis consisting of 5 troops was conducted in gombe stream national park baboons were individually recognizable information on age sex troop membership reproductive status social rank and life history of each individual baboon could be related to parasite infection seven helminth taxa and 2 protozoan taxa were found all baboons were parasitized by at least 1 taxon distributions of helminths were aggregated among hosts there were significant differences among troops in the prevalence of all but 2 of the recorded helminths age had a significant impact on the prevalence and intensity of strongyloides sp no significant effect of sex on the prevalence of infection could be detected there was some indication that female reproductive status was related to trichuris egg output in contrast to a previous study no significant correlations between parasite infection and social rank could be found troop membership constituted the predominant factor contributing to heterogeneity of prevalence of infection this suggests that spatial location and or genetics may be important in determining levels of parasite infection,gmpd,1217
